date,code,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
2013-01-06,sz300293,21.41,22.1,21.07,22.04,0.03231899999999999,2006341.0,43347004.99,495900000.0,1983600000.0,0.0891707111111111,33.347719,,,,,,,6.960069
2013-01-13,sz300293,22.08,23.4,21.33,21.48,-0.025408667926172024,9006652.0,200597600.71999997,483300000.0,1933200000.0,0.40029564444444443,32.500398,,,,,,,6.783223
2013-01-20,sz300293,21.3,25.56,21.24,25.1,0.16852909306676978,12072311.0,278909229.0,564750000.0,2259000000.0,0.5365471555555555,37.97766,,,,,,,7.926392999999999
2013-01-27,sz300293,25.0,26.43,23.21,23.9,-0.04780829540910403,12296235.0,305789417.78,537750000.0,2151000000.0,0.5464993333333333,36.162013,,,,,,,7.547446000000001
2013-02-03,sz300293,24.0,26.95,23.6,24.98,0.04518948738395889,12479589.0,318919352.85,562050000.0,2248200000.0,0.5546484,37.796155999999996,,,,,,,7.888511
2013-02-10,sz300293,25.01,25.68,23.91,25.46,0.01921430784493805,7007637.0,174487842.84,572850000.0,2291400000.0,0.31145053333333333,38.522383000000005,,,,,,,8.040083000000001
2013-02-24,sz300293,25.6,25.84,23.35,23.58,-0.07384160949398721,5632249.0,138262654.85,530550000.0,2122200000.0,0.25032217777777777,35.677828000000005,,,,,,,7.446391
2013-03-03,sz300293,23.78,27.21,23.51,26.8,0.13655598776161093,8895907.0,225932301.18,603000000.0,2412000000.0,0.39537364444444445,40.549849,,,,,,,8.463239999999999
2013-03-10,sz300293,26.9,27.89,24.85,24.99,-0.06753732422768932,9271417.0,246102005.58999997,562275000.0,2249100000.0,0.4120629777777778,37.811221,,,,,,,7.891655
2013-03-17,sz300293,25.01,25.55,23.75,24.19,-0.03201268890104081,5138017.0,125918310.13,544275000.0,2177100000.0,0.2283563111111111,36.600782,,,,,,,7.639022
2013-03-24,sz300293,23.73,25.78,23.55,25.67,0.061183497559139655,4225285.0,104949337.77000001,577575000.0,2310300000.0,0.18779044444444445,38.840146000000004,,,,,,,8.106404
2013-03-31,sz300293,25.7,26.3,24.45,24.5,-0.04557775354212645,4644126.0,118915746.38000001,551250000.0,2205000000.0,0.2064056,37.069899,,,,,,,7.7369330000000005
2013-04-07,sz300293,24.5,25.33,22.93,23.52,-0.04000134040705694,2708038.0,65438805.7,529200000.0,2116800000.0,0.12035724444444444,35.587053999999995,,,,,,,7.427445
2013-04-14,sz300293,22.52,23.79,22.21,22.41,-0.0471948995239333,3092145.0,70880150.55999999,504225000.0,2016900000.0,0.13742866666666667,33.907526000000004,,,,,,,7.076908
2013-04-21,sz300293,22.1,26.73,21.92,26.73,0.19277190924533683,6483907.0,161733830.13,601425000.0,2405700000.0,0.28817364444444443,40.443945,2012-12-31,2013-04-19,27.286063000000002,5.024164,-6.4868879999999995,3.899424,8.441137
2013-04-28,sz300293,26.99,29.68,25.6,27.2,0.017583634583508312,18805659.0,520176567.94000006,612000000.0,2448000000.0,0.8358070666666667,41.155096,2013-03-31,2013-04-25,25.986213,4.051242,-4.824898,3.851695,8.589561999999999
2013-05-05,sz300293,26.36,28.99,26.36,28.05,0.03125037658700003,3950666.0,110129238.0,631125000.0,2524500000.0,0.17558515555555557,42.441209,2013-03-31,2013-04-25,26.798292,4.177845,-4.975676999999999,3.972062,8.857989
2013-05-12,sz300293,27.95,31.94,27.81,30.95,0.10338664308849399,12303957.0,364567886.80999994,696375000.0,2785500000.0,0.5468425333333333,46.829063,2013-03-31,2013-04-25,29.568877,4.6097779999999995,-5.490096,4.382721,9.773786999999999
2013-05-19,sz300293,30.89,30.89,28.4,29.05,-0.06139069169633027,9527909.0,281579663.63,653625000.0,2614500000.0,0.4234626222222222,43.954194,2013-03-31,2013-04-25,27.753622999999997,4.3267809999999995,-5.153055,4.113662000000001,9.173767999999999
2013-05-26,sz300293,29.15,32.32,29.06,32.11,0.1053353481801571,12098567.0,374365391.64,722475000.0,2889900000.0,0.5377140888888889,48.584125,2013-03-31,2013-04-25,30.677061,4.782544000000001,-5.695854,4.546976,10.140089999999999
2013-06-02,sz300293,32.3,34.2,31.9,32.8,0.0214891726901838,10159608.0,333582837.6999999,738000000.0,2952000000.0,0.45153813333333326,49.628157,2013-03-31,2013-04-25,31.336285999999998,4.885317,-5.8182529999999995,4.644687,10.357992
2013-06-09,sz300293,32.62,32.79,28.6,29.29,-0.10701185252012402,7412734.0,222544744.57999998,659025000.0,2636100000.0,0.32945484444444445,44.317356,2013-03-31,2013-04-25,27.982932,4.3625300000000005,-5.195631,4.147651000000001,9.249564
2013-06-16,sz300293,28.79,30.15,26.65,29.85,0.019118158399999974,3052784.0,87084461.94,671625000.0,2686500000.0,0.1356792888888889,45.164621999999994,2013-03-31,2013-04-25,28.517914,4.445933,-5.294962,4.226946,9.426399
2013-06-23,sz300293,29.72,30.85,13.14,13.69,-0.07685593404459001,18986593.0,316374094.79999995,616050000.0,2464200000.0,0.4219242888888889,41.693453000000005,2013-03-31,2013-04-25,26.326143,4.104237,-4.888013,3.90208,8.701924
